%% Dataset about positive and negative movie reviews
@relation review_type
@attribute number_of_words numeric
@attribute number_of_positive_words numeric
@attribute number_of_negative_words numeric
@attribute percent_of_positive_words numeric
@attribute percent_of_negative_words numeric
@attribute positive_minus_negative numeric
@attribute review {positive, negative}
@data
253,5,17,0.019762845849802372,0.06719367588932806,-12,negative
115,8,10,0.06956521739130435,0.08695652173913043,-2,negative
195,6,7,0.03076923076923077,0.035897435897435895,-1,negative
115,5,4,0.043478260869565216,0.034782608695652174,1,negative
116,4,6,0.034482758620689655,0.05172413793103448,-2,negative
225,13,6,0.057777777777777775,0.02666666666666667,7,negative
342,13,17,0.038011695906432746,0.049707602339181284,-4,negative
251,7,8,0.027888446215139442,0.03187250996015936,-1,negative
683,23,38,0.03367496339677892,0.055636896046852125,-15,negative
212,8,4,0.03773584905660377,0.018867924528301886,4,negative
411,16,13,0.038929440389294405,0.031630170316301706,3,negative
118,4,2,0.03389830508474576,0.01694915254237288,2,negative
131,6,4,0.04580152671755725,0.030534351145038167,2,negative
152,5,13,0.03289473684210526,0.08552631578947369,-8,negative
161,4,7,0.024844720496894408,0.043478260869565216,-3,negative
685,22,34,0.032116788321167884,0.049635036496350364,-12,negative
192,12,6,0.0625,0.03125,6,negative
241,13,11,0.05394190871369295,0.04564315352697095,2,negative
170,8,12,0.047058823529411764,0.07058823529411765,-4,negative
187,4,12,0.0213903743315508,0.06417112299465241,-8,negative
189,13,8,0.06878306878306878,0.042328042328042326,5,negative
164,6,9,0.036585365853658534,0.054878048780487805,-3,negative
160,6,10,0.0375,0.0625,-4,negative
343,9,13,0.026239067055393587,0.037900874635568516,-4,negative
184,6,3,0.03260869565217391,0.016304347826086956,3,negative
967,33,25,0.03412616339193381,0.025853154084798345,8,negative
136,4,6,0.029411764705882353,0.04411764705882353,-2,negative
169,3,5,0.01775147928994083,0.029585798816568046,-2,negative
158,8,5,0.05063291139240506,0.03164556962025317,3,negative
113,3,4,0.02654867256637168,0.035398230088495575,-1,negative
132,3,9,0.022727272727272728,0.06818181818181818,-6,negative
194,4,14,0.020618556701030927,0.07216494845360824,-10,negative
137,3,3,0.021897810218978103,0.021897810218978103,0,negative
138,8,3,0.057971014492753624,0.021739130434782608,5,negative
51,2,4,0.0392156862745098,0.0784313725490196,-2,negative
144,5,2,0.034722222222222224,0.013888888888888888,3,negative
1002,40,34,0.03992015968063872,0.033932135728542916,6,negative
159,7,9,0.0440251572327044,0.05660377358490566,-2,negative
337,17,12,0.050445103857566766,0.03560830860534125,5,negative
459,23,19,0.05010893246187364,0.04139433551198257,4,negative
145,5,6,0.034482758620689655,0.041379310344827586,-1,negative
316,11,15,0.03481012658227848,0.04746835443037975,-4,negative
253,5,6,0.019762845849802372,0.023715415019762844,-1,negative
362,14,26,0.03867403314917127,0.0718232044198895,-12,negative
53,3,1,0.05660377358490566,0.018867924528301886,2,negative
170,2,6,0.011764705882352941,0.03529411764705882,-4,negative
291,11,4,0.037800687285223365,0.013745704467353952,7,negative
402,20,14,0.04975124378109453,0.03482587064676617,6,negative
128,5,7,0.0390625,0.0546875,-2,negative
536,17,29,0.03171641791044776,0.054104477611940295,-12,negative
216,6,14,0.027777777777777776,0.06481481481481481,-8,negative
126,7,3,0.05555555555555555,0.023809523809523808,4,negative
119,2,6,0.01680672268907563,0.05042016806722689,-4,negative
165,6,7,0.03636363636363636,0.04242424242424243,-1,negative
95,5,9,0.05263157894736842,0.09473684210526316,-4,negative
220,5,7,0.022727272727272728,0.031818181818181815,-2,negative
104,5,4,0.04807692307692308,0.038461538461538464,1,negative
56,0,5,0.0,0.08928571428571429,-5,negative
85,3,2,0.03529411764705882,0.023529411764705882,1,negative
177,3,15,0.01694915254237288,0.0847457627118644,-12,negative
685,24,32,0.035036496350364967,0.04671532846715328,-8,negative
127,5,8,0.03937007874015748,0.06299212598425197,-3,negative
152,3,6,0.019736842105263157,0.039473684210526314,-3,negative
129,2,3,0.015503875968992248,0.023255813953488372,-1,negative
317,5,15,0.015772870662460567,0.0473186119873817,-10,negative
203,8,10,0.03940886699507389,0.04926108374384237,-2,negative
194,4,12,0.020618556701030927,0.061855670103092786,-8,negative
192,4,10,0.020833333333333332,0.052083333333333336,-6,negative
127,3,7,0.023622047244094488,0.05511811023622047,-4,negative
214,4,8,0.018691588785046728,0.037383177570093455,-4,negative
106,3,7,0.02830188679245283,0.0660377358490566,-4,negative
150,6,7,0.04,0.04666666666666667,-1,negative
318,16,15,0.050314465408805034,0.04716981132075472,1,negative
115,4,6,0.034782608695652174,0.05217391304347826,-2,negative
99,8,2,0.08080808080808081,0.020202020202020204,6,negative
204,8,8,0.0392156862745098,0.0392156862745098,0,negative
221,5,16,0.02262443438914027,0.07239819004524888,-11,negative
274,12,28,0.043795620437956206,0.10218978102189781,-16,negative
306,4,19,0.013071895424836602,0.06209150326797386,-15,negative
419,9,34,0.021479713603818614,0.081145584725537,-25,negative
245,7,6,0.02857142857142857,0.024489795918367346,1,negative
186,4,9,0.021505376344086023,0.04838709677419355,-5,negative
685,24,32,0.035036496350364967,0.04671532846715328,-8,negative
164,5,14,0.03048780487804878,0.08536585365853659,-9,negative
202,10,8,0.04950495049504951,0.039603960396039604,2,negative
223,5,10,0.02242152466367713,0.04484304932735426,-5,negative
178,6,5,0.033707865168539325,0.028089887640449437,1,negative
251,11,14,0.043824701195219126,0.055776892430278883,-3,negative
145,1,9,0.006896551724137931,0.06206896551724138,-8,negative
147,3,8,0.02040816326530612,0.05442176870748299,-5,negative
122,2,3,0.01639344262295082,0.02459016393442623,-1,negative
113,2,1,0.017699115044247787,0.008849557522123894,1,negative
192,10,9,0.052083333333333336,0.046875,1,negative
60,3,3,0.05,0.05,0,negative
142,6,2,0.04225352112676056,0.014084507042253521,4,negative
206,10,9,0.04854368932038835,0.043689320388349516,1,negative
143,8,9,0.055944055944055944,0.06293706293706294,-1,negative
125,3,6,0.024,0.048,-3,negative
203,7,5,0.034482758620689655,0.024630541871921183,2,negative
564,16,18,0.028368794326241134,0.031914893617021274,-2,negative
139,1,9,0.007194244604316547,0.06474820143884892,-8,negative
588,14,16,0.023809523809523808,0.027210884353741496,-2,negative
576,16,30,0.027777777777777776,0.052083333333333336,-14,negative
153,4,6,0.026143790849673203,0.0392156862745098,-2,negative
351,8,12,0.022792022792022793,0.03418803418803419,-4,negative
180,2,13,0.011111111111111112,0.07222222222222222,-11,negative
136,7,4,0.051470588235294115,0.029411764705882353,3,negative
306,9,8,0.029411764705882353,0.026143790849673203,1,negative
154,5,8,0.032467532467532464,0.05194805194805195,-3,negative
317,5,18,0.015772870662460567,0.056782334384858045,-13,negative
135,2,14,0.014814814814814815,0.1037037037037037,-12,negative
226,3,12,0.01327433628318584,0.05309734513274336,-9,negative
164,6,5,0.036585365853658534,0.03048780487804878,1,negative
218,6,10,0.027522935779816515,0.045871559633027525,-4,negative
174,3,2,0.017241379310344827,0.011494252873563218,1,negative
184,14,4,0.07608695652173914,0.021739130434782608,10,negative
204,6,7,0.029411764705882353,0.03431372549019608,-1,negative
212,13,6,0.06132075471698113,0.02830188679245283,7,negative
108,6,6,0.05555555555555555,0.05555555555555555,0,negative
388,13,17,0.03350515463917526,0.04381443298969072,-4,negative
583,10,42,0.017152658662092625,0.07204116638078903,-32,negative
174,4,12,0.022988505747126436,0.06896551724137931,-8,negative
188,2,10,0.010638297872340425,0.05319148936170213,-8,negative
117,4,4,0.03418803418803419,0.03418803418803419,0,negative
192,2,20,0.010416666666666666,0.10416666666666667,-18,negative
111,1,3,0.009009009009009009,0.02702702702702703,-2,negative
643,21,43,0.03265940902021773,0.06687402799377916,-22,negative
297,7,11,0.02356902356902357,0.037037037037037035,-4,negative
103,4,11,0.038834951456310676,0.10679611650485436,-7,negative
144,8,5,0.05555555555555555,0.034722222222222224,3,negative
593,20,23,0.03372681281618887,0.0387858347386172,-3,negative
76,2,5,0.02631578947368421,0.06578947368421052,-3,negative
203,13,7,0.06403940886699508,0.034482758620689655,6,negative
123,1,7,0.008130081300813009,0.056910569105691054,-6,negative
327,19,16,0.0581039755351682,0.04892966360856269,3,negative
130,11,2,0.08461538461538462,0.015384615384615385,9,negative
179,5,4,0.027932960893854747,0.0223463687150838,1,negative
176,17,3,0.09659090909090909,0.017045454545454544,14,negative
721,21,52,0.02912621359223301,0.07212205270457697,-31,negative
94,1,11,0.010638297872340425,0.11702127659574468,-10,negative
188,7,8,0.03723404255319149,0.0425531914893617,-1,negative
151,3,5,0.019867549668874173,0.033112582781456956,-2,negative
298,8,14,0.026845637583892617,0.04697986577181208,-6,negative
177,4,3,0.022598870056497175,0.01694915254237288,1,negative
129,4,2,0.031007751937984496,0.015503875968992248,2,negative
367,19,15,0.051771117166212535,0.04087193460490463,4,negative
291,9,5,0.030927835051546393,0.01718213058419244,4,negative
70,1,1,0.014285714285714285,0.014285714285714285,0,negative
67,1,4,0.014925373134328358,0.05970149253731343,-3,negative
237,12,10,0.05063291139240506,0.04219409282700422,2,negative
175,7,10,0.04,0.05714285714285714,-3,negative
335,12,19,0.03582089552238806,0.056716417910447764,-7,negative
186,8,7,0.043010752688172046,0.03763440860215054,1,negative
173,4,8,0.023121387283236993,0.046242774566473986,-4,negative
215,7,11,0.03255813953488372,0.05116279069767442,-4,negative
108,3,3,0.027777777777777776,0.027777777777777776,0,negative
342,11,8,0.03216374269005848,0.023391812865497075,3,negative
618,19,26,0.030744336569579287,0.042071197411003236,-7,negative
47,0,5,0.0,0.10638297872340426,-5,negative
97,2,4,0.020618556701030927,0.041237113402061855,-2,negative
118,5,3,0.0423728813559322,0.025423728813559324,2,negative
176,9,7,0.05113636363636364,0.03977272727272727,2,negative
118,5,3,0.0423728813559322,0.025423728813559324,2,negative
198,8,3,0.04040404040404041,0.015151515151515152,5,negative
143,4,6,0.027972027972027972,0.04195804195804196,-2,negative
146,4,7,0.0273972602739726,0.04794520547945205,-3,negative
132,7,2,0.05303030303030303,0.015151515151515152,5,negative
122,3,3,0.02459016393442623,0.02459016393442623,0,negative
194,5,9,0.02577319587628866,0.04639175257731959,-4,negative
106,3,6,0.02830188679245283,0.05660377358490566,-3,negative
294,11,17,0.03741496598639456,0.05782312925170068,-6,negative
131,5,3,0.03816793893129771,0.022900763358778626,2,negative
226,8,16,0.035398230088495575,0.07079646017699115,-8,negative
106,4,2,0.03773584905660377,0.018867924528301886,2,negative
67,1,3,0.014925373134328358,0.04477611940298507,-2,negative
113,4,2,0.035398230088495575,0.017699115044247787,2,negative
235,7,8,0.029787234042553193,0.03404255319148936,-1,negative
197,5,11,0.025380710659898477,0.05583756345177665,-6,negative
131,4,3,0.030534351145038167,0.022900763358778626,1,negative
112,3,7,0.026785714285714284,0.0625,-4,negative
383,10,20,0.02610966057441253,0.05221932114882506,-10,negative
50,1,1,0.02,0.02,0,negative
46,0,7,0.0,0.15217391304347827,-7,negative
257,7,6,0.027237354085603113,0.023346303501945526,1,negative
228,3,14,0.013157894736842105,0.06140350877192982,-11,negative
55,3,5,0.05454545454545454,0.09090909090909091,-2,negative
103,2,4,0.019417475728155338,0.038834951456310676,-2,negative
337,13,17,0.03857566765578635,0.050445103857566766,-4,negative
271,18,13,0.06642066420664207,0.04797047970479705,5,negative
150,7,5,0.04666666666666667,0.03333333333333333,2,negative
197,1,13,0.005076142131979695,0.06598984771573604,-12,negative
213,7,6,0.03286384976525822,0.028169014084507043,1,negative
174,6,4,0.034482758620689655,0.022988505747126436,2,negative
243,20,10,0.0823045267489712,0.0411522633744856,10,negative
287,8,26,0.027874564459930314,0.09059233449477352,-18,negative
468,23,30,0.049145299145299144,0.0641025641025641,-7,negative
177,7,11,0.03954802259887006,0.062146892655367235,-4,negative
153,6,13,0.0392156862745098,0.08496732026143791,-7,negative
438,10,24,0.0228310502283105,0.0547945205479452,-14,negative
215,6,6,0.027906976744186046,0.027906976744186046,0,negative
180,6,9,0.03333333333333333,0.05,-3,negative
212,8,12,0.03773584905660377,0.05660377358490566,-4,negative
485,17,22,0.03505154639175258,0.04536082474226804,-5,negative
50,1,4,0.02,0.08,-3,negative
303,6,17,0.019801980198019802,0.056105610561056105,-11,negative
400,7,35,0.0175,0.0875,-28,negative
240,13,14,0.05416666666666667,0.058333333333333334,-1,negative
168,3,10,0.017857142857142856,0.05952380952380952,-7,negative
992,29,46,0.029233870967741934,0.046370967741935484,-17,negative
178,5,6,0.028089887640449437,0.033707865168539325,-1,negative
158,12,2,0.0759493670886076,0.012658227848101266,10,negative
187,5,5,0.026737967914438502,0.026737967914438502,0,negative
399,13,27,0.03258145363408521,0.06766917293233082,-14,negative
168,14,6,0.08333333333333333,0.03571428571428571,8,negative
384,14,20,0.036458333333333336,0.052083333333333336,-6,negative
184,12,12,0.06521739130434782,0.06521739130434782,0,negative
117,3,8,0.02564102564102564,0.06837606837606838,-5,negative
182,5,9,0.027472527472527472,0.04945054945054945,-4,negative
117,1,5,0.008547008547008548,0.042735042735042736,-4,negative
137,5,6,0.0364963503649635,0.043795620437956206,-1,negative
121,2,12,0.01652892561983471,0.09917355371900827,-10,negative
181,5,7,0.027624309392265192,0.03867403314917127,-2,negative
133,3,10,0.022556390977443608,0.07518796992481203,-7,negative
123,6,6,0.04878048780487805,0.04878048780487805,0,negative
314,13,20,0.041401273885350316,0.06369426751592357,-7,negative
687,15,29,0.021834061135371178,0.042212518195050945,-14,negative
123,9,3,0.07317073170731707,0.024390243902439025,6,negative
108,9,2,0.08333333333333333,0.018518518518518517,7,negative
458,18,18,0.039301310043668124,0.039301310043668124,0,negative
436,20,18,0.045871559633027525,0.04128440366972477,2,negative
148,4,13,0.02702702702702703,0.08783783783783784,-9,negative
321,14,9,0.04361370716510903,0.028037383177570093,5,negative
139,5,10,0.03597122302158273,0.07194244604316546,-5,negative
177,5,3,0.02824858757062147,0.01694915254237288,2,negative
136,4,5,0.029411764705882353,0.03676470588235294,-1,negative
260,5,11,0.019230769230769232,0.04230769230769231,-6,negative
75,3,8,0.04,0.10666666666666667,-5,negative
192,12,5,0.0625,0.026041666666666668,7,negative
186,4,8,0.021505376344086023,0.043010752688172046,-4,negative
236,9,12,0.038135593220338986,0.05084745762711865,-3,negative
71,0,6,0.0,0.08450704225352113,-6,negative
127,4,6,0.031496062992125984,0.047244094488188976,-2,negative
169,2,7,0.011834319526627219,0.04142011834319527,-5,negative
54,3,3,0.05555555555555555,0.05555555555555555,0,negative
527,7,18,0.013282732447817837,0.03415559772296015,-11,negative
353,4,14,0.0113314447592068,0.039660056657223795,-10,negative
144,8,6,0.05555555555555555,0.041666666666666664,2,negative
231,4,8,0.017316017316017316,0.03463203463203463,-4,negative
168,7,4,0.041666666666666664,0.023809523809523808,3,negative
131,3,8,0.022900763358778626,0.061068702290076333,-5,negative
156,7,7,0.04487179487179487,0.04487179487179487,0,negative
66,0,5,0.0,0.07575757575757576,-5,negative
266,6,23,0.022556390977443608,0.08646616541353383,-17,negative
296,3,17,0.010135135135135136,0.057432432432432436,-14,negative
91,4,5,0.04395604395604396,0.054945054945054944,-1,negative
172,8,2,0.046511627906976744,0.011627906976744186,6,negative
131,2,10,0.015267175572519083,0.07633587786259542,-8,negative
180,2,5,0.011111111111111112,0.027777777777777776,-3,negative
42,1,7,0.023809523809523808,0.16666666666666666,-6,negative
123,4,9,0.032520325203252036,0.07317073170731707,-5,negative
123,8,6,0.06504065040650407,0.04878048780487805,2,negative
211,9,8,0.04265402843601896,0.037914691943127965,1,negative
212,5,13,0.02358490566037736,0.06132075471698113,-8,negative
182,6,12,0.03296703296703297,0.06593406593406594,-6,negative
220,8,7,0.03636363636363636,0.031818181818181815,1,negative
291,8,29,0.027491408934707903,0.09965635738831616,-21,negative
201,8,13,0.03980099502487562,0.06467661691542288,-5,negative
131,6,5,0.04580152671755725,0.03816793893129771,1,negative
165,6,3,0.03636363636363636,0.01818181818181818,3,negative
129,5,4,0.03875968992248062,0.031007751937984496,1,negative
269,13,9,0.048327137546468404,0.03345724907063197,4,negative
117,9,10,0.07692307692307693,0.08547008547008547,-1,negative
252,9,14,0.03571428571428571,0.05555555555555555,-5,negative
132,5,5,0.03787878787878788,0.03787878787878788,0,negative
132,3,16,0.022727272727272728,0.12121212121212122,-13,negative
136,3,5,0.022058823529411766,0.03676470588235294,-2,negative
548,25,19,0.04562043795620438,0.03467153284671533,6,negative
239,6,19,0.02510460251046025,0.0794979079497908,-13,negative
506,7,25,0.01383399209486166,0.04940711462450593,-18,negative
187,6,4,0.03208556149732621,0.0213903743315508,2,negative
498,10,18,0.020080321285140562,0.03614457831325301,-8,negative
108,3,5,0.027777777777777776,0.046296296296296294,-2,negative
145,3,11,0.020689655172413793,0.07586206896551724,-8,negative
597,29,27,0.048576214405360134,0.04522613065326633,2,negative
112,2,6,0.017857142857142856,0.05357142857142857,-4,negative
194,7,8,0.03608247422680412,0.041237113402061855,-1,negative
233,5,12,0.02145922746781116,0.05150214592274678,-7,negative
167,7,8,0.041916167664670656,0.04790419161676647,-1,negative
135,6,3,0.044444444444444446,0.022222222222222223,3,negative
117,4,8,0.03418803418803419,0.06837606837606838,-4,negative
195,3,2,0.015384615384615385,0.010256410256410256,1,negative
931,25,38,0.02685284640171858,0.04081632653061224,-13,negative
163,5,8,0.03067484662576687,0.049079754601226995,-3,negative
146,1,9,0.00684931506849315,0.06164383561643835,-8,negative
236,10,5,0.0423728813559322,0.0211864406779661,5,negative
186,3,8,0.016129032258064516,0.043010752688172046,-5,negative
113,5,12,0.04424778761061947,0.10619469026548672,-7,negative
226,8,6,0.035398230088495575,0.02654867256637168,2,negative
209,6,11,0.028708133971291867,0.05263157894736842,-5,negative
248,7,7,0.028225806451612902,0.028225806451612902,0,negative
178,11,14,0.06179775280898876,0.07865168539325842,-3,negative
205,3,6,0.014634146341463415,0.02926829268292683,-3,negative
455,19,13,0.041758241758241756,0.02857142857142857,6,negative
320,4,7,0.0125,0.021875,-3,negative
143,2,4,0.013986013986013986,0.027972027972027972,-2,negative
241,5,10,0.02074688796680498,0.04149377593360996,-5,negative
55,3,4,0.05454545454545454,0.07272727272727272,-1,negative
186,8,4,0.043010752688172046,0.021505376344086023,4,negative
149,10,8,0.06711409395973154,0.053691275167785234,2,negative
296,13,6,0.04391891891891892,0.02027027027027027,7,negative
156,12,13,0.07692307692307693,0.08333333333333333,-1,negative
200,10,9,0.05,0.045,1,negative
163,9,11,0.05521472392638037,0.06748466257668712,-2,negative
287,11,12,0.03832752613240418,0.041811846689895474,-1,negative
119,2,4,0.01680672268907563,0.03361344537815126,-2,negative
267,6,16,0.02247191011235955,0.0599250936329588,-10,negative
223,8,10,0.03587443946188341,0.04484304932735426,-2,negative
209,6,17,0.028708133971291867,0.08133971291866028,-11,negative
231,5,13,0.021645021645021644,0.05627705627705628,-8,negative
199,9,7,0.04522613065326633,0.035175879396984924,2,negative
186,6,8,0.03225806451612903,0.043010752688172046,-2,negative
206,12,12,0.05825242718446602,0.05825242718446602,0,negative
123,3,8,0.024390243902439025,0.06504065040650407,-5,negative
136,6,15,0.04411764705882353,0.11029411764705882,-9,negative
551,17,20,0.030852994555353903,0.036297640653357534,-3,negative
482,15,15,0.03112033195020747,0.03112033195020747,0,negative
128,11,9,0.0859375,0.0703125,2,negative
124,11,12,0.08870967741935484,0.0967741935483871,-1,negative
158,5,10,0.03164556962025317,0.06329113924050633,-5,negative
183,7,9,0.03825136612021858,0.04918032786885246,-2,negative
185,5,8,0.02702702702702703,0.043243243243243246,-3,negative
131,5,4,0.03816793893129771,0.030534351145038167,1,negative
149,5,3,0.03355704697986577,0.020134228187919462,2,negative
95,6,8,0.06315789473684211,0.08421052631578947,-2,negative
99,5,10,0.050505050505050504,0.10101010101010101,-5,negative
46,1,4,0.021739130434782608,0.08695652173913043,-3,negative
160,3,10,0.01875,0.0625,-7,negative
237,7,15,0.029535864978902954,0.06329113924050633,-8,negative
131,2,8,0.015267175572519083,0.061068702290076333,-6,negative
177,9,7,0.05084745762711865,0.03954802259887006,2,negative
152,5,3,0.03289473684210526,0.019736842105263157,2,negative
194,5,7,0.02577319587628866,0.03608247422680412,-2,negative
90,2,5,0.022222222222222223,0.05555555555555555,-3,negative
133,7,6,0.05263157894736842,0.045112781954887216,1,negative
222,6,5,0.02702702702702703,0.02252252252252252,1,negative
190,6,5,0.031578947368421054,0.02631578947368421,1,negative
473,14,24,0.02959830866807611,0.0507399577167019,-10,negative
420,5,12,0.011904761904761904,0.02857142857142857,-7,negative
173,4,2,0.023121387283236993,0.011560693641618497,2,negative
161,3,4,0.018633540372670808,0.024844720496894408,-1,negative
127,6,8,0.047244094488188976,0.06299212598425197,-2,negative
993,38,46,0.038267875125881166,0.04632426988922457,-8,negative
133,3,6,0.022556390977443608,0.045112781954887216,-3,negative
369,21,13,0.056910569105691054,0.03523035230352303,8,negative
210,14,8,0.06666666666666667,0.0380952380952381,6,negative
208,6,5,0.028846153846153848,0.02403846153846154,1,negative
306,12,5,0.0392156862745098,0.016339869281045753,7,negative
402,15,13,0.03731343283582089,0.03233830845771144,2,negative
125,4,4,0.032,0.032,0,negative
194,3,11,0.015463917525773196,0.05670103092783505,-8,negative
173,11,3,0.06358381502890173,0.017341040462427744,8,negative
117,4,11,0.03418803418803419,0.09401709401709402,-7,negative
146,5,3,0.03424657534246575,0.02054794520547945,2,negative
200,12,14,0.06,0.07,-2,negative
121,3,3,0.024793388429752067,0.024793388429752067,0,negative
124,6,7,0.04838709677419355,0.056451612903225805,-1,negative
121,6,4,0.049586776859504134,0.03305785123966942,2,negative
193,7,15,0.03626943005181347,0.07772020725388601,-8,negative
141,10,4,0.07092198581560284,0.028368794326241134,6,negative
121,4,6,0.03305785123966942,0.049586776859504134,-2,negative
243,10,19,0.0411522633744856,0.07818930041152264,-9,negative
201,7,19,0.03482587064676617,0.0945273631840796,-12,negative
83,3,5,0.03614457831325301,0.060240963855421686,-2,negative
169,9,10,0.05325443786982249,0.05917159763313609,-1,negative
361,8,13,0.0221606648199446,0.036011080332409975,-5,negative
103,3,3,0.02912621359223301,0.02912621359223301,0,negative
113,7,3,0.061946902654867256,0.02654867256637168,4,negative
188,7,12,0.03723404255319149,0.06382978723404255,-5,negative
50,0,4,0.0,0.08,-4,negative
125,1,5,0.008,0.04,-4,negative
42,3,2,0.07142857142857142,0.047619047619047616,1,negative
398,6,16,0.01507537688442211,0.04020100502512563,-10,negative
245,6,15,0.024489795918367346,0.061224489795918366,-9,negative
193,7,6,0.03626943005181347,0.031088082901554404,1,negative
482,19,17,0.03941908713692946,0.035269709543568464,2,negative
270,6,14,0.022222222222222223,0.05185185185185185,-8,negative
637,17,21,0.026687598116169546,0.03296703296703297,-4,negative
151,8,4,0.052980132450331126,0.026490066225165563,4,negative
159,13,2,0.08176100628930817,0.012578616352201259,11,negative
570,23,30,0.04035087719298246,0.05263157894736842,-7,negative
238,7,13,0.029411764705882353,0.0546218487394958,-6,negative
31,1,3,0.03225806451612903,0.0967741935483871,-2,negative
306,6,18,0.0196078431372549,0.058823529411764705,-12,negative
408,18,18,0.04411764705882353,0.04411764705882353,0,negative
116,5,7,0.04310344827586207,0.0603448275862069,-2,negative
401,9,28,0.022443890274314215,0.06982543640897755,-19,negative
576,13,28,0.022569444444444444,0.04861111111111111,-15,negative
418,8,26,0.019138755980861243,0.06220095693779904,-18,negative
557,21,12,0.03770197486535009,0.02154398563734291,9,negative
113,5,9,0.04424778761061947,0.07964601769911504,-4,negative
401,21,26,0.05236907730673317,0.06483790523690773,-5,negative
295,12,18,0.04067796610169491,0.061016949152542375,-6,negative
124,6,6,0.04838709677419355,0.04838709677419355,0,negative
54,1,5,0.018518518518518517,0.09259259259259259,-4,negative
132,4,12,0.030303030303030304,0.09090909090909091,-8,negative
129,3,4,0.023255813953488372,0.031007751937984496,-1,negative
105,3,5,0.02857142857142857,0.047619047619047616,-2,negative
174,8,12,0.04597701149425287,0.06896551724137931,-4,negative
376,15,15,0.0398936170212766,0.0398936170212766,0,negative
188,7,7,0.03723404255319149,0.03723404255319149,0,negative
44,3,6,0.06818181818181818,0.13636363636363635,-3,negative
111,5,5,0.04504504504504504,0.04504504504504504,0,negative
217,1,12,0.004608294930875576,0.055299539170506916,-11,negative
369,18,11,0.04878048780487805,0.02981029810298103,7,negative
148,3,7,0.02027027027027027,0.0472972972972973,-4,negative
164,7,7,0.042682926829268296,0.042682926829268296,0,negative
161,4,13,0.024844720496894408,0.08074534161490683,-9,negative
109,1,5,0.009174311926605505,0.045871559633027525,-4,negative
254,7,12,0.027559055118110236,0.047244094488188976,-5,negative
204,8,10,0.0392156862745098,0.049019607843137254,-2,negative
59,1,2,0.01694915254237288,0.03389830508474576,-1,negative
145,5,4,0.034482758620689655,0.027586206896551724,1,negative
214,5,14,0.02336448598130841,0.06542056074766354,-9,negative
332,5,12,0.015060240963855422,0.03614457831325301,-7,negative
96,7,5,0.07291666666666667,0.052083333333333336,2,negative
307,13,13,0.04234527687296417,0.04234527687296417,0,negative
109,2,8,0.01834862385321101,0.07339449541284404,-6,negative
180,8,6,0.044444444444444446,0.03333333333333333,2,negative
163,3,7,0.018404907975460124,0.04294478527607362,-4,negative
436,11,23,0.02522935779816514,0.052752293577981654,-12,negative
213,5,4,0.023474178403755867,0.018779342723004695,1,negative
136,4,11,0.029411764705882353,0.08088235294117647,-7,negative
