%% Dataset about positive and negative movie reviews
@relation review_type
@attribute number_of_words numeric
@attribute number_of_positive_words numeric
@attribute number_of_negative_words numeric
@attribute percent_of_positive_words numeric
@attribute percent_of_negative_words numeric
@attribute positive_minus_negative numeric
@attribute review {positive, negative}
@data
116,0,3,0.0,0.02586206896551724,-3,negative
189,6,9,0.031746031746031744,0.047619047619047616,-3,negative
466,13,13,0.027896995708154508,0.027896995708154508,0,negative
219,8,9,0.0365296803652968,0.0410958904109589,-1,negative
124,1,2,0.008064516129032258,0.016129032258064516,-1,negative
885,29,52,0.0327683615819209,0.05875706214689266,-23,negative
117,6,5,0.05128205128205128,0.042735042735042736,1,negative
249,6,7,0.024096385542168676,0.028112449799196786,-1,negative
137,5,6,0.0364963503649635,0.043795620437956206,-1,negative
132,1,9,0.007575757575757576,0.06818181818181818,-8,negative
260,9,8,0.03461538461538462,0.03076923076923077,1,negative
257,7,17,0.027237354085603113,0.06614785992217899,-10,negative
56,1,7,0.017857142857142856,0.125,-6,negative
120,4,8,0.03333333333333333,0.06666666666666667,-4,negative
122,3,8,0.02459016393442623,0.06557377049180328,-5,negative
624,36,23,0.057692307692307696,0.03685897435897436,13,negative
32,1,3,0.03125,0.09375,-2,negative
298,8,23,0.026845637583892617,0.07718120805369127,-15,negative
207,7,3,0.033816425120772944,0.014492753623188406,4,negative
122,6,7,0.04918032786885246,0.05737704918032787,-1,negative
107,2,7,0.018691588785046728,0.06542056074766354,-5,negative
149,4,7,0.026845637583892617,0.04697986577181208,-3,negative
143,7,10,0.04895104895104895,0.06993006993006994,-3,negative
380,7,13,0.018421052631578946,0.034210526315789476,-6,negative
214,9,9,0.04205607476635514,0.04205607476635514,0,negative
100,0,8,0.0,0.08,-8,negative
149,5,11,0.03355704697986577,0.0738255033557047,-6,negative
98,4,6,0.04081632653061224,0.061224489795918366,-2,negative
152,5,6,0.03289473684210526,0.039473684210526314,-1,negative
73,3,10,0.0410958904109589,0.136986301369863,-7,negative
50,2,1,0.04,0.02,1,negative
318,11,17,0.03459119496855346,0.05345911949685535,-6,negative
34,5,2,0.14705882352941177,0.058823529411764705,3,negative
780,23,27,0.029487179487179487,0.03461538461538462,-4,negative
193,7,13,0.03626943005181347,0.06735751295336788,-6,negative
204,7,3,0.03431372549019608,0.014705882352941176,4,negative
170,3,15,0.01764705882352941,0.08823529411764706,-12,negative
161,5,6,0.031055900621118012,0.037267080745341616,-1,negative
151,7,5,0.046357615894039736,0.033112582781456956,2,negative
84,1,5,0.011904761904761904,0.05952380952380952,-4,negative
115,6,4,0.05217391304347826,0.034782608695652174,2,negative
91,6,2,0.06593406593406594,0.02197802197802198,4,negative
230,6,9,0.02608695652173913,0.0391304347826087,-3,negative
211,3,14,0.014218009478672985,0.06635071090047394,-11,negative
262,11,8,0.04198473282442748,0.030534351145038167,3,negative
97,3,4,0.030927835051546393,0.041237113402061855,-1,negative
81,3,4,0.037037037037037035,0.04938271604938271,-1,negative
190,9,5,0.04736842105263158,0.02631578947368421,4,negative
117,2,2,0.017094017094017096,0.017094017094017096,0,negative
102,3,4,0.029411764705882353,0.0392156862745098,-1,negative
422,16,20,0.037914691943127965,0.04739336492890995,-4,negative
128,8,1,0.0625,0.0078125,7,negative
163,4,3,0.024539877300613498,0.018404907975460124,1,negative
445,15,10,0.033707865168539325,0.02247191011235955,5,negative
187,11,6,0.058823529411764705,0.03208556149732621,5,negative
155,6,7,0.03870967741935484,0.04516129032258064,-1,negative
78,1,3,0.01282051282051282,0.038461538461538464,-2,negative
41,2,3,0.04878048780487805,0.07317073170731707,-1,negative
106,4,6,0.03773584905660377,0.05660377358490566,-2,negative
112,3,6,0.026785714285714284,0.05357142857142857,-3,negative
103,3,5,0.02912621359223301,0.04854368932038835,-2,negative
260,12,15,0.046153846153846156,0.057692307692307696,-3,negative
43,2,2,0.046511627906976744,0.046511627906976744,0,negative
135,7,2,0.05185185185185185,0.014814814814814815,5,negative
234,3,15,0.01282051282051282,0.0641025641025641,-12,negative
115,7,5,0.06086956521739131,0.043478260869565216,2,negative
177,6,12,0.03389830508474576,0.06779661016949153,-6,negative
124,5,7,0.04032258064516129,0.056451612903225805,-2,negative
282,11,8,0.03900709219858156,0.028368794326241134,3,negative
311,3,10,0.00964630225080386,0.03215434083601286,-7,negative
215,9,10,0.04186046511627907,0.046511627906976744,-1,negative
158,5,7,0.03164556962025317,0.04430379746835443,-2,negative
57,5,5,0.08771929824561403,0.08771929824561403,0,negative
342,24,12,0.07017543859649122,0.03508771929824561,12,negative
120,4,11,0.03333333333333333,0.09166666666666666,-7,negative
153,5,14,0.032679738562091505,0.0915032679738562,-9,negative
353,15,15,0.042492917847025496,0.042492917847025496,0,negative
160,5,5,0.03125,0.03125,0,negative
119,2,9,0.01680672268907563,0.07563025210084033,-7,negative
211,9,10,0.04265402843601896,0.04739336492890995,-1,negative
210,8,13,0.0380952380952381,0.06190476190476191,-5,negative
408,15,30,0.03676470588235294,0.07352941176470588,-15,negative
215,7,12,0.03255813953488372,0.05581395348837209,-5,negative
412,14,23,0.03398058252427184,0.055825242718446605,-9,negative
207,5,10,0.024154589371980676,0.04830917874396135,-5,negative
171,4,7,0.023391812865497075,0.04093567251461988,-3,negative
114,7,8,0.06140350877192982,0.07017543859649122,-1,negative
255,6,20,0.023529411764705882,0.0784313725490196,-14,negative
169,5,10,0.029585798816568046,0.05917159763313609,-5,negative
163,3,10,0.018404907975460124,0.06134969325153374,-7,negative
316,13,16,0.04113924050632911,0.05063291139240506,-3,negative
105,5,1,0.047619047619047616,0.009523809523809525,4,negative
90,5,5,0.05555555555555555,0.05555555555555555,0,negative
288,13,23,0.04513888888888889,0.0798611111111111,-10,negative
117,8,1,0.06837606837606838,0.008547008547008548,7,negative
165,6,7,0.03636363636363636,0.04242424242424243,-1,negative
519,12,11,0.023121387283236993,0.02119460500963391,1,negative
485,26,15,0.05360824742268041,0.030927835051546393,11,negative
137,7,5,0.051094890510948905,0.0364963503649635,2,negative
148,3,8,0.02027027027027027,0.05405405405405406,-5,negative
112,4,3,0.03571428571428571,0.026785714285714284,1,negative
187,11,14,0.058823529411764705,0.0748663101604278,-3,negative
123,2,6,0.016260162601626018,0.04878048780487805,-4,negative
164,8,6,0.04878048780487805,0.036585365853658534,2,negative
247,4,8,0.016194331983805668,0.032388663967611336,-4,negative
177,6,7,0.03389830508474576,0.03954802259887006,-1,negative
235,9,13,0.03829787234042553,0.05531914893617021,-4,negative
848,23,36,0.027122641509433963,0.04245283018867924,-13,negative
295,13,23,0.04406779661016949,0.07796610169491526,-10,negative
250,2,16,0.008,0.064,-14,negative
234,8,15,0.03418803418803419,0.0641025641025641,-7,negative
298,12,11,0.040268456375838924,0.03691275167785235,1,negative
124,6,6,0.04838709677419355,0.04838709677419355,0,negative
123,3,5,0.024390243902439025,0.04065040650406504,-2,negative
162,7,5,0.043209876543209874,0.030864197530864196,2,negative
151,4,17,0.026490066225165563,0.11258278145695365,-13,negative
147,6,3,0.04081632653061224,0.02040816326530612,3,negative
159,10,9,0.06289308176100629,0.05660377358490566,1,negative
382,13,19,0.034031413612565446,0.049738219895287955,-6,negative
138,4,5,0.028985507246376812,0.036231884057971016,-1,negative
218,10,3,0.045871559633027525,0.013761467889908258,7,negative
128,4,3,0.03125,0.0234375,1,negative
454,8,29,0.01762114537444934,0.06387665198237885,-21,negative
61,1,4,0.01639344262295082,0.06557377049180328,-3,negative
195,4,5,0.020512820512820513,0.02564102564102564,-1,negative
249,7,6,0.028112449799196786,0.024096385542168676,1,negative
103,3,6,0.02912621359223301,0.05825242718446602,-3,negative
122,6,9,0.04918032786885246,0.07377049180327869,-3,negative
185,4,7,0.021621621621621623,0.03783783783783784,-3,negative
225,3,10,0.013333333333333334,0.044444444444444446,-7,negative
185,12,1,0.06486486486486487,0.005405405405405406,11,negative
458,3,22,0.006550218340611353,0.048034934497816595,-19,negative
125,5,11,0.04,0.088,-6,negative
556,14,27,0.025179856115107913,0.048561151079136694,-13,negative
314,12,11,0.03821656050955414,0.03503184713375796,1,negative
435,16,20,0.0367816091954023,0.04597701149425287,-4,negative
421,13,18,0.030878859857482184,0.04275534441805225,-5,negative
91,1,4,0.01098901098901099,0.04395604395604396,-3,negative
62,1,6,0.016129032258064516,0.0967741935483871,-5,negative
325,9,7,0.027692307692307693,0.021538461538461538,2,negative
575,23,15,0.04,0.02608695652173913,8,negative
348,10,10,0.028735632183908046,0.028735632183908046,0,negative
226,5,6,0.022123893805309734,0.02654867256637168,-1,negative
380,16,7,0.042105263157894736,0.018421052631578946,9,negative
96,2,6,0.020833333333333332,0.0625,-4,negative
128,6,5,0.046875,0.0390625,1,negative
108,2,10,0.018518518518518517,0.09259259259259259,-8,negative
36,3,0,0.08333333333333333,0.0,3,negative
151,4,17,0.026490066225165563,0.11258278145695365,-13,negative
326,3,13,0.009202453987730062,0.03987730061349693,-10,negative
160,2,3,0.0125,0.01875,-1,negative
112,7,2,0.0625,0.017857142857142856,5,negative
160,3,11,0.01875,0.06875,-8,negative
151,7,8,0.046357615894039736,0.052980132450331126,-1,negative
105,6,6,0.05714285714285714,0.05714285714285714,0,negative
452,22,19,0.048672566371681415,0.0420353982300885,3,negative
186,5,7,0.026881720430107527,0.03763440860215054,-2,negative
775,22,43,0.02838709677419355,0.05548387096774193,-21,negative
80,2,5,0.025,0.0625,-3,negative
159,3,4,0.018867924528301886,0.025157232704402517,-1,negative
151,3,1,0.019867549668874173,0.006622516556291391,2,negative
359,6,9,0.016713091922005572,0.025069637883008356,-3,negative
621,23,32,0.037037037037037035,0.05152979066022544,-9,negative
390,7,25,0.017948717948717947,0.0641025641025641,-18,negative
195,10,8,0.05128205128205128,0.041025641025641026,2,negative
105,4,5,0.0380952380952381,0.047619047619047616,-1,negative
158,1,13,0.006329113924050633,0.08227848101265822,-12,negative
201,5,7,0.024875621890547265,0.03482587064676617,-2,negative
151,4,8,0.026490066225165563,0.052980132450331126,-4,negative
662,17,34,0.0256797583081571,0.0513595166163142,-17,negative
160,1,4,0.00625,0.025,-3,negative
242,7,4,0.028925619834710745,0.01652892561983471,3,negative
156,6,6,0.038461538461538464,0.038461538461538464,0,negative
168,3,1,0.017857142857142856,0.005952380952380952,2,negative
127,4,10,0.031496062992125984,0.07874015748031496,-6,negative
260,7,16,0.026923076923076925,0.06153846153846154,-9,negative
107,3,3,0.028037383177570093,0.028037383177570093,0,negative
229,11,3,0.048034934497816595,0.013100436681222707,8,negative
137,4,7,0.029197080291970802,0.051094890510948905,-3,negative
134,2,14,0.014925373134328358,0.1044776119402985,-12,negative
68,3,3,0.04411764705882353,0.04411764705882353,0,negative
232,4,6,0.017241379310344827,0.02586206896551724,-2,negative
158,5,4,0.03164556962025317,0.02531645569620253,1,negative
108,7,3,0.06481481481481481,0.027777777777777776,4,negative
143,1,11,0.006993006993006993,0.07692307692307693,-10,negative
58,3,3,0.05172413793103448,0.05172413793103448,0,negative
62,0,4,0.0,0.06451612903225806,-4,negative
165,6,5,0.03636363636363636,0.030303030303030304,1,negative
82,2,3,0.024390243902439025,0.036585365853658534,-1,negative
316,12,13,0.0379746835443038,0.04113924050632911,-1,negative
111,4,2,0.036036036036036036,0.018018018018018018,2,negative
171,0,6,0.0,0.03508771929824561,-6,negative
81,9,2,0.1111111111111111,0.024691358024691357,7,negative
59,3,4,0.05084745762711865,0.06779661016949153,-1,negative
141,7,3,0.04964539007092199,0.02127659574468085,4,negative
150,2,6,0.013333333333333334,0.04,-4,negative
273,17,13,0.06227106227106227,0.047619047619047616,4,negative
155,6,5,0.03870967741935484,0.03225806451612903,1,negative
427,18,13,0.04215456674473068,0.03044496487119438,5,negative
165,5,7,0.030303030303030304,0.04242424242424243,-2,negative
770,22,35,0.02857142857142857,0.045454545454545456,-13,negative
133,3,2,0.022556390977443608,0.015037593984962405,1,negative
62,3,2,0.04838709677419355,0.03225806451612903,1,negative
183,3,10,0.01639344262295082,0.0546448087431694,-7,negative
806,21,31,0.026054590570719603,0.038461538461538464,-10,negative
163,2,2,0.012269938650306749,0.012269938650306749,0,negative
136,1,4,0.007352941176470588,0.029411764705882353,-3,negative
210,7,7,0.03333333333333333,0.03333333333333333,0,negative
339,10,17,0.029498525073746312,0.05014749262536873,-7,negative
109,5,5,0.045871559633027525,0.045871559633027525,0,negative
90,7,1,0.07777777777777778,0.011111111111111112,6,negative
191,8,6,0.041884816753926704,0.031413612565445025,2,negative
123,3,3,0.024390243902439025,0.024390243902439025,0,negative
106,2,4,0.018867924528301886,0.03773584905660377,-2,negative
117,9,5,0.07692307692307693,0.042735042735042736,4,negative
123,4,5,0.032520325203252036,0.04065040650406504,-1,negative
254,5,10,0.01968503937007874,0.03937007874015748,-5,negative
237,8,9,0.03375527426160337,0.0379746835443038,-1,negative
191,4,5,0.020942408376963352,0.02617801047120419,-1,negative
337,9,23,0.026706231454005934,0.06824925816023739,-14,negative
137,5,1,0.0364963503649635,0.0072992700729927005,4,negative
179,7,9,0.03910614525139665,0.05027932960893855,-2,negative
261,11,10,0.0421455938697318,0.038314176245210725,1,negative
372,21,13,0.056451612903225805,0.03494623655913978,8,negative
129,5,2,0.03875968992248062,0.015503875968992248,3,negative
117,8,4,0.06837606837606838,0.03418803418803419,4,negative
142,1,13,0.007042253521126761,0.09154929577464789,-12,negative
399,16,25,0.040100250626566414,0.06265664160401002,-9,negative
211,15,17,0.07109004739336493,0.08056872037914692,-2,negative
502,24,25,0.04780876494023904,0.049800796812749,-1,negative
230,13,14,0.05652173913043478,0.06086956521739131,-1,negative
99,7,5,0.0707070707070707,0.050505050505050504,2,negative
469,14,17,0.029850746268656716,0.03624733475479744,-3,negative
288,7,8,0.024305555555555556,0.027777777777777776,-1,negative
102,6,5,0.058823529411764705,0.049019607843137254,1,negative
210,5,15,0.023809523809523808,0.07142857142857142,-10,negative
363,24,18,0.06611570247933884,0.049586776859504134,6,negative
47,0,2,0.0,0.0425531914893617,-2,negative
208,3,11,0.014423076923076924,0.052884615384615384,-8,negative
97,1,5,0.010309278350515464,0.05154639175257732,-4,negative
241,7,11,0.029045643153526972,0.04564315352697095,-4,negative
400,8,19,0.02,0.0475,-11,negative
106,4,5,0.03773584905660377,0.04716981132075472,-1,negative
46,0,6,0.0,0.13043478260869565,-6,negative
146,2,4,0.0136986301369863,0.0273972602739726,-2,negative
60,4,4,0.06666666666666667,0.06666666666666667,0,negative
151,4,12,0.026490066225165563,0.07947019867549669,-8,negative
451,19,12,0.04212860310421286,0.026607538802660754,7,negative
102,4,1,0.0392156862745098,0.00980392156862745,3,negative
150,3,8,0.02,0.05333333333333334,-5,negative
515,15,27,0.02912621359223301,0.05242718446601942,-12,negative
129,6,13,0.046511627906976744,0.10077519379844961,-7,negative
116,5,9,0.04310344827586207,0.07758620689655173,-4,negative
262,6,7,0.022900763358778626,0.026717557251908396,-1,negative
210,3,9,0.014285714285714285,0.04285714285714286,-6,negative
410,22,12,0.05365853658536585,0.02926829268292683,10,negative
190,5,12,0.02631578947368421,0.06315789473684211,-7,negative
98,7,5,0.07142857142857142,0.05102040816326531,2,negative
134,5,5,0.03731343283582089,0.03731343283582089,0,negative
102,4,6,0.0392156862745098,0.058823529411764705,-2,negative
141,12,6,0.0851063829787234,0.0425531914893617,6,negative
294,12,16,0.04081632653061224,0.05442176870748299,-4,negative
108,5,7,0.046296296296296294,0.06481481481481481,-2,negative
161,6,10,0.037267080745341616,0.062111801242236024,-4,negative
137,6,4,0.043795620437956206,0.029197080291970802,2,negative
126,2,13,0.015873015873015872,0.10317460317460317,-11,negative
197,11,9,0.05583756345177665,0.04568527918781726,2,negative
452,21,19,0.046460176991150445,0.0420353982300885,2,negative
64,2,6,0.03125,0.09375,-4,negative
74,6,2,0.08108108108108109,0.02702702702702703,4,negative
593,26,18,0.04384485666104553,0.03035413153456998,8,negative
138,11,5,0.07971014492753623,0.036231884057971016,6,negative
125,1,5,0.008,0.04,-4,negative
174,8,11,0.04597701149425287,0.06321839080459771,-3,negative
406,9,22,0.022167487684729065,0.054187192118226604,-13,negative
249,5,14,0.020080321285140562,0.05622489959839357,-9,negative
125,3,11,0.024,0.088,-8,negative
140,4,3,0.02857142857142857,0.02142857142857143,1,negative
98,2,11,0.02040816326530612,0.11224489795918367,-9,negative
211,7,11,0.03317535545023697,0.052132701421800945,-4,negative
405,15,10,0.037037037037037035,0.024691358024691357,5,negative
544,12,29,0.022058823529411766,0.05330882352941176,-17,negative
318,3,14,0.009433962264150943,0.0440251572327044,-11,negative
989,16,61,0.016177957532861477,0.06167846309403438,-45,negative
163,5,15,0.03067484662576687,0.09202453987730061,-10,negative
352,13,17,0.036931818181818184,0.048295454545454544,-4,negative
380,11,15,0.02894736842105263,0.039473684210526314,-4,negative
131,1,9,0.007633587786259542,0.06870229007633588,-8,negative
370,5,19,0.013513513513513514,0.051351351351351354,-14,negative
250,5,16,0.02,0.064,-11,negative
136,3,12,0.022058823529411766,0.08823529411764706,-9,negative
133,4,10,0.03007518796992481,0.07518796992481203,-6,negative
201,7,5,0.03482587064676617,0.024875621890547265,2,negative
123,2,3,0.016260162601626018,0.024390243902439025,-1,negative
293,5,6,0.017064846416382253,0.020477815699658702,-1,negative
460,7,8,0.015217391304347827,0.017391304347826087,-1,negative
264,12,18,0.045454545454545456,0.06818181818181818,-6,negative
153,8,9,0.05228758169934641,0.058823529411764705,-1,negative
147,8,3,0.05442176870748299,0.02040816326530612,5,negative
332,17,12,0.05120481927710843,0.03614457831325301,5,negative
310,17,10,0.054838709677419356,0.03225806451612903,7,negative
139,5,10,0.03597122302158273,0.07194244604316546,-5,negative
156,5,8,0.03205128205128205,0.05128205128205128,-3,negative
145,8,5,0.05517241379310345,0.034482758620689655,3,negative
203,10,13,0.04926108374384237,0.06403940886699508,-3,negative
122,9,3,0.07377049180327869,0.02459016393442623,6,negative
81,3,2,0.037037037037037035,0.024691358024691357,1,negative
53,1,3,0.018867924528301886,0.05660377358490566,-2,negative
252,7,5,0.027777777777777776,0.01984126984126984,2,negative
98,4,3,0.04081632653061224,0.030612244897959183,1,negative
120,2,4,0.016666666666666666,0.03333333333333333,-2,negative
109,3,9,0.027522935779816515,0.08256880733944955,-6,negative
215,7,6,0.03255813953488372,0.027906976744186046,1,negative
635,10,23,0.015748031496062992,0.03622047244094488,-13,negative
418,5,20,0.011961722488038277,0.04784688995215311,-15,negative
176,3,8,0.017045454545454544,0.045454545454545456,-5,negative
241,3,7,0.012448132780082987,0.029045643153526972,-4,negative
374,10,24,0.026737967914438502,0.06417112299465241,-14,negative
154,5,1,0.032467532467532464,0.006493506493506494,4,negative
854,24,49,0.02810304449648712,0.05737704918032787,-25,negative
115,2,4,0.017391304347826087,0.034782608695652174,-2,negative
124,6,4,0.04838709677419355,0.03225806451612903,2,negative
153,3,9,0.0196078431372549,0.058823529411764705,-6,negative
67,1,3,0.014925373134328358,0.04477611940298507,-2,negative
124,1,4,0.008064516129032258,0.03225806451612903,-3,negative
337,11,7,0.032640949554896145,0.020771513353115726,4,negative
161,8,14,0.049689440993788817,0.08695652173913043,-6,negative
360,9,25,0.025,0.06944444444444445,-16,negative
190,4,8,0.021052631578947368,0.042105263157894736,-4,negative
88,2,5,0.022727272727272728,0.056818181818181816,-3,negative
161,4,7,0.024844720496894408,0.043478260869565216,-3,negative
172,3,3,0.01744186046511628,0.01744186046511628,0,negative
179,4,4,0.0223463687150838,0.0223463687150838,0,negative
194,3,5,0.015463917525773196,0.02577319587628866,-2,negative
220,7,6,0.031818181818181815,0.02727272727272727,1,negative
128,6,11,0.046875,0.0859375,-5,negative
174,6,11,0.034482758620689655,0.06321839080459771,-5,negative
152,7,6,0.046052631578947366,0.039473684210526314,1,negative
131,6,4,0.04580152671755725,0.030534351145038167,2,negative
176,4,13,0.022727272727272728,0.07386363636363637,-9,negative
671,16,43,0.02384500745156483,0.06408345752608048,-27,negative
112,6,3,0.05357142857142857,0.026785714285714284,3,negative
109,3,10,0.027522935779816515,0.09174311926605505,-7,negative
265,8,21,0.03018867924528302,0.07924528301886792,-13,negative
238,11,11,0.046218487394957986,0.046218487394957986,0,negative
173,6,6,0.03468208092485549,0.03468208092485549,0,negative
119,6,5,0.05042016806722689,0.04201680672268908,1,negative
97,1,14,0.010309278350515464,0.14432989690721648,-13,negative
125,8,6,0.064,0.048,2,negative
225,9,13,0.04,0.057777777777777775,-4,negative
140,4,8,0.02857142857142857,0.05714285714285714,-4,negative
327,13,7,0.039755351681957186,0.021406727828746176,6,negative
245,9,3,0.036734693877551024,0.012244897959183673,6,negative
141,5,2,0.03546099290780142,0.014184397163120567,3,negative
342,6,11,0.017543859649122806,0.03216374269005848,-5,negative
374,7,24,0.01871657754010695,0.06417112299465241,-17,negative
141,13,5,0.09219858156028368,0.03546099290780142,8,negative
142,6,8,0.04225352112676056,0.056338028169014086,-2,negative
731,27,23,0.036935704514363885,0.03146374829001368,4,negative
115,3,3,0.02608695652173913,0.02608695652173913,0,negative
140,5,9,0.03571428571428571,0.06428571428571428,-4,negative
109,2,9,0.01834862385321101,0.08256880733944955,-7,negative
142,8,6,0.056338028169014086,0.04225352112676056,2,negative
129,2,1,0.015503875968992248,0.007751937984496124,1,negative
149,6,15,0.040268456375838924,0.10067114093959731,-9,negative
158,10,11,0.06329113924050633,0.06962025316455696,-1,negative
209,6,13,0.028708133971291867,0.06220095693779904,-7,negative
416,22,26,0.052884615384615384,0.0625,-4,negative
228,9,13,0.039473684210526314,0.05701754385964912,-4,negative
342,5,15,0.014619883040935672,0.043859649122807015,-10,negative
119,5,10,0.04201680672268908,0.08403361344537816,-5,negative
456,20,23,0.043859649122807015,0.05043859649122807,-3,negative
195,11,10,0.05641025641025641,0.05128205128205128,1,negative
250,9,9,0.036,0.036,0,negative
136,3,3,0.022058823529411766,0.022058823529411766,0,negative
121,4,4,0.03305785123966942,0.03305785123966942,0,negative
303,4,9,0.013201320132013201,0.0297029702970297,-5,negative
43,2,5,0.046511627906976744,0.11627906976744186,-3,negative
636,17,38,0.026729559748427674,0.059748427672955975,-21,negative
106,5,4,0.04716981132075472,0.03773584905660377,1,negative
172,12,10,0.06976744186046512,0.05813953488372093,2,negative
494,9,17,0.018218623481781375,0.03441295546558704,-8,negative
306,5,15,0.016339869281045753,0.049019607843137254,-10,negative
129,2,6,0.015503875968992248,0.046511627906976744,-4,negative
197,3,12,0.015228426395939087,0.06091370558375635,-9,negative
192,4,4,0.020833333333333332,0.020833333333333332,0,negative
112,2,5,0.017857142857142856,0.044642857142857144,-3,negative
770,10,32,0.012987012987012988,0.04155844155844156,-22,negative
123,2,3,0.016260162601626018,0.024390243902439025,-1,negative
176,9,6,0.05113636363636364,0.03409090909090909,3,negative
186,8,15,0.043010752688172046,0.08064516129032258,-7,negative
49,6,2,0.12244897959183673,0.04081632653061224,4,negative
172,2,9,0.011627906976744186,0.05232558139534884,-7,negative
508,15,20,0.02952755905511811,0.03937007874015748,-5,negative
377,11,23,0.029177718832891247,0.0610079575596817,-12,negative
166,5,6,0.030120481927710843,0.03614457831325301,-1,negative
142,7,4,0.04929577464788732,0.028169014084507043,3,negative
259,12,5,0.04633204633204633,0.019305019305019305,7,negative
236,10,3,0.0423728813559322,0.012711864406779662,7,negative
131,4,13,0.030534351145038167,0.09923664122137404,-9,negative
163,7,14,0.04294478527607362,0.08588957055214724,-7,negative
160,0,8,0.0,0.05,-8,negative
46,2,3,0.043478260869565216,0.06521739130434782,-1,negative
251,5,4,0.0199203187250996,0.01593625498007968,1,negative
180,12,6,0.06666666666666667,0.03333333333333333,6,negative
186,5,7,0.026881720430107527,0.03763440860215054,-2,negative
113,6,7,0.05309734513274336,0.061946902654867256,-1,negative
474,16,11,0.03375527426160337,0.023206751054852322,5,negative
64,5,3,0.078125,0.046875,2,negative
166,7,6,0.04216867469879518,0.03614457831325301,1,negative
169,8,11,0.047337278106508875,0.0650887573964497,-3,negative
247,12,9,0.048582995951417005,0.03643724696356275,3,negative
219,13,9,0.0593607305936073,0.0410958904109589,4,negative
126,6,3,0.047619047619047616,0.023809523809523808,3,negative
660,10,19,0.015151515151515152,0.02878787878787879,-9,negative
121,4,7,0.03305785123966942,0.05785123966942149,-3,negative
406,12,21,0.029556650246305417,0.05172413793103448,-9,negative
50,1,4,0.02,0.08,-3,negative
161,10,6,0.062111801242236024,0.037267080745341616,4,negative
114,1,1,0.008771929824561403,0.008771929824561403,0,negative
149,3,9,0.020134228187919462,0.06040268456375839,-6,negative
393,11,18,0.027989821882951654,0.04580152671755725,-7,negative
629,16,26,0.025437201907790145,0.04133545310015898,-10,negative
206,5,14,0.024271844660194174,0.06796116504854369,-9,negative
323,17,6,0.05263157894736842,0.018575851393188854,11,negative
326,12,11,0.03680981595092025,0.03374233128834356,1,negative
58,5,4,0.08620689655172414,0.06896551724137931,1,negative
248,10,2,0.04032258064516129,0.008064516129032258,8,negative
755,19,46,0.025165562913907286,0.060927152317880796,-27,negative
375,20,10,0.05333333333333334,0.02666666666666667,10,negative
70,2,1,0.02857142857142857,0.014285714285714285,1,negative
72,5,6,0.06944444444444445,0.08333333333333333,-1,negative
